ID,Name,Age,Department,Salary,Email
1,Employee_1,30.0,IT,8417,employee1@company.com
2,Employee_2,32.0,Finance,9977,employee2@company.com
3,Employee_3,43.0,Sales,6729,employee3@company.com
4,Employee_4,35.0,Finance,9396,employee4@company.com
5,Employee_5,21.0,HR,6968,employee5@company.com
6,Employee_6,22.0,Finance,6145,employee6@company.com
7,Employee_7,46.0,HR,9263,employee7@company.com
8,Employee_8,24.0,Finance,4083,employee8@company.com
9,Employee_9,46.0,IT,3398,employee9@company.com
10,Employee_10,56.0,HR,5455,employee10@company.com
11,Employee_11,,Sales,8517,employee11@company.com
12,Employee_12,56.0,HR,3186,employee12@company.com
13,Employee_13,25.0,IT,9056,employee13@company.com
14,Employee_14,51.0,IT,6613,employee14@company.com
15,Employee_15,44.0,Finance,5598,employee15@company.com
16,Employee_16,36.0,Sales,5576,employee16@company.com
17,Employee_17,33.0,Sales,9578,employee17@company.com
18,Employee_18,20.0,Finance,5372,employee18@company.com
19,Employee_19,39.0,HR,4398,employee19@company.com
20,Employee_20,45.0,HR,4333,employee20@company.com
21,,23.0,Sales,3439,employee21@company.com
22,Employee_22,41.0,Sales,9926,employee22@company.com
23,Employee_23,22.0,IT,6525,employee23@company.com
24,Employee_24,32.0,IT,6931,employee24@company.com
25,Employee_25,35.0,Finance,4927,employee25@company.com
26,Employee_26,44.0,Finance,5265,employee26@company.com
27,Employee_27,54.0,Sales,9433,employee27@company.com
28,Employee_28,45.0,Finance,7475,employee28@company.com
29,Employee_29,34.0,Finance,7514,employee29@company.com
30,Employee_30,36.0,IT,9617,employee30@company.com
31,Employee_31,43.0,HR,3965,employee30@company
32,Employee_32,51.0,HR,4625,employee32@company.com
33,Employee_33,24.0,IT,8933,employee33@company.com
34,Employee_34,53.0,HR,5416,employee34@company.com
35,Employee_35,35.0,IT,4116,employee35@company.com
36,Employee_36,37.0,Sales,6634,employee36@company.com
37,Employee_37,31.0,Sales,3979,employee37@company.com
38,Employee_38,33.0,IT,3852,employee38@company.com
39,Employee_39,51.0,IT,5578,employee39@company.com
40,Employee_40,25.0,HR,9921,employee40@company.com
41,Employee_41,46.0,IT,N/A,employee41@company.com
42,Employee_42,50.0,IT,4206,employee42@company.com
43,Employee_43,48.0,Sales,5975,employee43@company.com
44,Employee_44,56.0,Sales,5799,employee44@company.com
45,Employee_45,23.0,Sales,4142,employee45@company.com
46,Employee_46,52.0,HR,7720,employee46@company.com
47,Employee_47,30.0,Sales,6531,employee47@company.com
48,Employee_48,46.0,IT,3817,employee48@company.com
49,Employee_49,56.0,HR,4993,employee49@company.com
50,Employee_50,55.0,Sales,4126,employee50@company.com
51,Employee_51,21.0,Research,7086,employee51@company.com
52,Employee_52,59.0,HR,9586,employee52@company.com
53,Employee_53,52.0,HR,4287,employee53@company.com
54,Employee_54,28.0,IT,4735,employee54@company.com
55,Employee_55,42.0,IT,6737,employee55@company.com
56,Employee_56,51.0,IT,9662,employee56@company.com
57,Employee_57,34.0,Sales,3163,employee57@company.com
58,Employee_58,38.0,Sales,6495,employee58@company.com
59,Employee_59,58.0,IT,8665,employee59@company.com
60,Employee_60,51.0,HR,3514,employee60@company.com
60,Employee_61,45.0,IT,6553,employee61@company.com
62,Employee_62,56.0,HR,5658,employee62@company.com
63,Employee_63,55.0,HR,9600,employee63@company.com
64,Employee_64,26.0,Sales,3726,employee64@company.com
65,Employee_65,22.0,IT,8077,employee65@company.com
66,Employee_66,36.0,IT,5723,employee66@company.com
67,Employee_67,55.0,IT,8570,employee67@company.com
68,Employee_68,38.0,Sales,4388,employee68@company.com
69,Employee_69,21.0,HR,8140,employee69@company.com
70,Employee_70,43.0,HR,3333,employee70@company.com
71,Employee_71,44.0,HR,5761,employee71@company.com
72,Employee_72,54.0,Sales,7530,employee72@company.com
73,Employee_73,33.0,Finance,3520,employee73@company.com
74,Employee_74,52.0,Finance,7264,employee74@company.com
75,Employee_75,48.0,HR,5565,employee75@company.com
76,Employee_76,26.0,Sales,4632,employee76@company.com
77,Employee_77,59.0,Sales,8292,employee77@company.com
78,Employee_78,44.0,HR,8343,employee78@company.com
79,Employee_79,50.0,HR,7309,employee79@company.com
80,Employee_80,29.0,Sales,3020,employee80@company.com
81,Employee_81,20.0,Sales,3280,employee81@company.com
82,Employee_82,51.0,Finance,6061,employee82@company.com
83,Employee_83,35.0,Finance,8599,employee83@company.com
84,Employee_84,42.0,HR,7225,employee84@company.com
85,Employee_85,22.0,IT,8427,employee85@company.com
86,Employee_86,42.0,HR,6882,employee86@company.com
87,Employee_87,34.0,IT,4972,employee87@company.com
88,Employee_88,30.0,IT,9430,employee88@company.com
89,Employee_89,24.0,Sales,3851,employee89@company.com
90,Employee_90,48.0,IT,4799,employee90@company.com
91,Employee_91,53.0,IT,8153,employee91@company.com
92,Employee_92,57.0,HR,5528,employee92@company.com
93,Employee_93,48.0,Sales,5025,employee93@company.com
94,Employee_94,31.0,HR,7003,employee94@company.com
95,Employee_95,24.0,IT,6296,employee95@company.com
96,Employee_96,47.0,Finance,8799,employee96@company.com
97,Employee_97,23.0,IT,9921,employee97@company.com
98,Employee_98,55.0,IT,9159,employee98@company.com
99,Employee_99,36.0,Sales,7784,employee99@company.com
100,Employee_100,35.0,Finance,4168,employee100@company.com
